fecha_evento,albaran_id,eventos_total,eventos_override,coherence_before,coherence_after,policy_applied,policy_reason,run_id,ts_utc
2028-04-23,AE 374,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-23,AE 375,3,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-23,AE 376,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-24,AE 377,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-24,AE 379,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-24,AE 380,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-24,AE 381,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-25,AE 382,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-25,AE 383,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-26,AE 384,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-26,AE 385,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-26,AE 386,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-26,AE 387,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-29,AE 388,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-29,AE 389,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-29,AE 390,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-29,AE 391,2,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-29,AE 392,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-30,AE 395,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-30,AE 397,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-30,AE 398,3,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-30,AE 399,3,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-02,AE 400,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-02,AE 401,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-02,AE 402,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-02,AE 403,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-03,AE 404,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-03,AE 405,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-06,AE 406,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-06,AE 407,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-06,AE 408,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-06,AE 413,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-07,AE 409,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-07,AE 410,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-07,AE 411,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-07,AE 412,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-07,AE 414,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-08,AE 416,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-08,AE 417,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-09,AE 418,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-09,AE 419,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-09,AE 420,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-09,AE 421,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-10,AE 422,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-10,AE 423,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-10,AE 424,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-10,AE 425,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-13,AE 429,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-14,AE 430,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-14,AE 431,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-14,AE 432,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-14,AE 433,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-14,AE 434,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-14,AE 435,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-14,AE 436,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-15,AE 438,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-15,AE 439,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-15,AE 440,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-15,AE 441,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-16,AE 442,3,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-16,AE 443,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-16,AE 444,3,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-16,AE 445,3,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-17,AE 446,5,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-17,AE 447,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-17,AE 448,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-17,AE 449,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-20,AE 450,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-20,AE 451,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-20,AE 452,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-20,AE 453,2,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-20,AE 454,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-20,AE 457,5,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
